Date,Platform,Post Type,Spend_USD,Reach,Clicks,Conversions
2024-02-08,TikTok,Carousel,89.76,2318,136,10
2024-02-21,Facebook,Carousel,35.89,794,13,1
2024-01-29,Twitter,Video,51.89,1655,50,2
2024-01-15,Instagram,Video,77.3,1663,115,7
2024-02-12,TikTok,Carousel,123.52,5755,343,24
2024-01-08,Twitter,Carousel,20.45,426,7,0
2024-01-21,Instagram,Carousel,67.9,2537,182,27
2024-02-08,Twitter,Image,44.79,1484,16,1
2024-02-27,Instagram,Image,46.0,1847,84,7
2024-01-19,TikTok,Image,67.5,2014,147,18
2024-01-23,Facebook,Video,59.11,1457,61,8
2024-01-11,Instagram,Image,66.16,3272,151,22
2024-01-11,Twitter,Video,23.04,1040,44,2
2024-01-24,TikTok,Video,149.63,6854,516,46
2024-02-22,Instagram,Image,97.58,2684,165,10
2024-02-05,Twitter,Image,37.91,802,10,0
2024-02-09,Twitter,Image,54.13,1575,23,1
2024-01-24,Twitter,Carousel,19.44,701,15,1
2024-01-03,Instagram,Image,49.52,1475,100,8
2024-01-22,Instagram,Carousel,79.03,3543,188,13
2024-02-22,Instagram,Video,89.27,2512,129,9
2024-01-02,Facebook,Carousel,52.82,2585,60,5
2024-01-24,Instagram,Image,58.32,1966,121,9
2024-02-13,Instagram,Video,92.14,4170,215,20
2024-01-30,Instagram,Video,89.56,2313,142,7
2024-02-07,Facebook,Video,56.78,1836,75,5
2024-01-02,Instagram,Carousel,84.97,3482,173,15
2024-02-29,Twitter,Image,43.45,1049,18,1
2024-01-21,Instagram,Video,70.65,1694,94,7
2024-02-02,Twitter,Video,28.61,1404,33,2
2024-01-12,Twitter,Video,57.01,2362,52,2
2024-02-27,Twitter,Carousel,58.68,1245,36,5
2024-01-22,Facebook,Carousel,24.2,773,20,1
2024-02-13,Facebook,Image,25.27,833,14,1
2024-01-25,Facebook,Carousel,34.28,1450,42,5
2024-02-18,Instagram,Video,61.39,1689,139,8
2024-01-27,Twitter,Image,59.72,1524,29,3
2024-02-28,Facebook,Video,18.8,421,16,1
2024-02-11,Facebook,Video,10.9,358,8,0
2024-01-28,Instagram,Carousel,64.57,2625,77,7
2024-02-29,Facebook,Image,18.94,411,9,1
2024-01-16,Instagram,Carousel,55.65,2641,139,13
2024-01-15,TikTok,Carousel,124.42,4139,147,21
2024-02-16,Facebook,Image,46.05,1252,36,3
2024-02-20,TikTok,Video,80.81,1843,165,20
2024-02-13,Instagram,Video,67.98,1732,74,6
2024-02-24,Twitter,Image,35.44,1702,48,6
2024-02-21,Facebook,Video,41.82,1637,96,10
2024-02-26,Instagram,Image,47.53,1687,126,7
2024-01-03,Twitter,Image,39.49,1568,17,0
2024-02-06,Twitter,Carousel,58.94,1949,48,3
2024-02-20,TikTok,Image,98.67,4134,216,11
2024-01-07,Instagram,Carousel,93.43,2002,120,6
2024-01-21,Twitter,Video,31.72,1173,68,8
2024-01-09,Facebook,Video,27.5,680,32,3
2024-02-08,Facebook,Video,42.26,997,53,6
2024-01-18,TikTok,Video,116.89,3536,338,47
2024-01-04,Twitter,Carousel,53.21,1210,32,3
2024-01-25,Instagram,Video,46.11,1052,68,8
2024-02-29,Facebook,Image,34.96,1025,14,1
2024-01-14,Twitter,Image,38.6,1906,34,2
2024-02-19,Twitter,Image,48.43,1223,34,2
2024-02-27,TikTok,Carousel,54.36,1115,36,2
2024-01-09,Facebook,Video,59.73,2562,103,7
2024-01-26,Facebook,Video,33.5,1480,43,3
2024-02-22,Instagram,Video,49.57,1506,113,7
2024-01-02,Facebook,Carousel,54.17,1838,50,6
2024-01-20,Instagram,Image,82.34,3251,224,28
2024-01-28,Facebook,Image,57.65,1236,18,0
2024-02-16,TikTok,Video,83.08,4027,396,30
2024-02-29,Facebook,Image,37.64,1753,38,1
2024-01-07,Instagram,Image,70.06,1949,82,8
2024-02-13,Instagram,Carousel,98.62,2017,121,11
2024-01-08,TikTok,Carousel,57.53,2761,135,17
2024-02-16,Facebook,Carousel,25.28,885,15,1
2024-02-04,Facebook,Carousel,19.55,707,17,2
2024-01-14,TikTok,Video,76.85,3113,163,23
2024-01-17,Facebook,Carousel,34.26,1318,21,1
2024-02-05,Facebook,Image,28.63,1383,25,3
2024-02-19,Instagram,Video,57.63,2785,146,15
2024-02-09,Facebook,Image,52.21,2402,43,4
2024-01-04,Facebook,Image,56.5,2208,47,4
2024-01-02,TikTok,Image,57.04,2511,155,19
2024-01-06,TikTok,Carousel,70.89,2858,181,20
2024-02-23,Twitter,Carousel,43.56,1620,42,5
2024-02-11,Instagram,Video,55.11,1314,114,15
2024-01-04,Facebook,Video,22.71,1006,47,5
2024-02-23,Facebook,Carousel,24.76,1104,16,2
2024-01-29,Twitter,Image,26.13,1013,18,1
2024-01-18,Facebook,Video,52.43,2339,91,10
2024-01-26,Instagram,Carousel,39.56,1564,45,4
2024-02-13,Twitter,Carousel,45.45,1190,24,1
2024-02-03,Instagram,Carousel,68.7,1938,90,11
2024-01-10,Twitter,Image,24.83,656,17,1
2024-02-05,Twitter,Carousel,30.99,970,28,2
2024-01-14,TikTok,Carousel,75.62,1600,84,11
2024-01-31,Instagram,Carousel,72.81,2806,115,9
2024-02-17,Facebook,Carousel,14.08,423,4,0
2024-01-15,Facebook,Video,10.26,407,23,2
2024-01-08,Instagram,Video,73.95,2334,231,29
